품목코드,품목명,단위,출고단가,입고단가,단위당수량,검색창내용,사용구분,표준단가,적요
"000002	","벌브7W(LED)전구	","EA	","15,000","13,000","	","	","YES	",0,"	"
"000003	","벌브10W(LED)주광	","EA	","1,200",870,"*일신코드:39473	","	","YES	",0,"	"
"000014	","벌브12W(LED)주광	","EA	","1,700","1,100","*	","	","YES	",0,"두리산업=1,100원/21.09.23
일신=800원/21.12	"
"000015	","벌브8W(LED)주광/비츠온	","EA	","5,000",800,"	","	","YES	",0,"	"
"000022	","벌브30W(LED)주광/비츠온	","EA	","5,000","8,000","	","	","YES	",0,"	"
"000023	","벌브8W(LED)주광	","EA	","5,000","1,000","	","	","YES	",0,"	"
"000025	","LED삼파장형램프 50W주광색(대모갈)	","EA	","29,000","22,000","	","	","YES	",0,"	"
"000036	","할로겐램프 LED5W	","EA	","4,200","3,240","	","	","YES	",0,"입고단가=일신비츠온/2021.02	"
"000040	","할로겐램프 MR16/12V(LED4W)	","EA	","8,000","1,200","	","	","YES	",0,"	"
"000048	","LED모듈(7M)주광	","EA	","45,000","17,500","	","	","YES	",0,"	"
"000061	","갓등 LED 22*2 (펜단트/2자) L125*W175*H62	","Set	","47,880","29,800","	","	","YES	",0,"	"
"000065	","갓등 LED 22*2 전자 고조도 [램프포함]	","Set	","39,000","29,680","	","갓등LED고조도85%/22W*2램프별도	","YES	",0,"입고단가=일신(코드:39201+241038)	"
"000067	","매입슬림 22*2(LED등기구)직관형	","Set	","95,000","28,000","	","	","YES	",0,"	"
"000070	","방습등 22W*2등/LED	","EA	","30,000","25,500","	","	","YES	",0,"	"
"000083	","삼파장램프 30W 주광색	","EA	","5,000","2,300","*	","	","YES	",0,"입고단가=일신/22.03	"
"000086	","삼파장램프 20W 주광색	","EA	","2,000","1,500","1박스=50개	","	","YES	",0,"입고단가=일신비츠온/21.11.10 재고입고	"
"000087	","삼파장램프 20W 전구색	","EA	","2,500","1,280","	","	","YES	",0,"	"
"000089	","삼파장램프 45W 주광색(소모갈)	","EA	","7,000","4,900","	","	","YES	",0,"	"
"000091	","삼파장램프 55W 주광색(소모갈)	","EA	","8,000","4,000","	","	","YES	",0,"	"
"000092	","삼파장램프 55W 주광색(대모갈)	","EA	","5,000","3,900","*1박스=30개	","	","YES	",0,"입고단가=로드/21.09.09	"
"000093	","삼파장램프 65W 주광색	","EA	","7,000","4,500","	","	","YES	",0,"로드런너=4,500원 / 태양산업=4,500원	"
"000094	","삼파장램프 75W 주광색	","EA	","12,000","6,200","	","	","YES	",0,"	"
"000096	","삼파장램프 15W 주광색	","EA	","2,500","1,550","	","	","YES	",0,"	"
"000098	","삼파장램프 100W 주광색	","EA	","11,000","9,900","	","	","YES	",0,"	"
"000104	","삼파장램프 필립스 20W(주광색)	","EA	","4,500","2,000","	","	","YES	",0,"	"
"000106	","삼파장램프 11W 전구색(미니)	","EA	","2,500","1,280","	","	","YES	",0,"	"
"000111	","삼파장램프 11W주광색(14베이스)	","EA	","3,500",0,"	","	","YES	",0,"	"
"000114	","삼파장램프 15W주광색(미니)	","EA	","2,500","1,280","	","	","YES	",0,"	"
"000123	","삼파장램프 55W전구색(대모갈)	","EA	","12,000","3,900","	","	","YES	",0,"	"
